country,company_name,event_rows,current_mapping_status,current_matched_name,top_candidate_source,top_candidate_code,top_candidate_name,top_candidate_score,top_candidate_note,manual_instruction
TAIWAN,PHOENIXTEC POWER CO,1,manual_review_round4,Phoenixtec Power / Eaton Phoenixtec MMPL,TPEx EN deListed official,2341,Behavior Tech Computer Corp.,0.4737,delist_date=2012-11-13,Please verify historical TWSE/TPEx stock code from MOPS/TWSE/TPEx/company IR; fill stock_code if confirmed.
TAIWAN,FAR EAST DEPT STORES,2,needs_review,,TPEx EN deListed official,5605,Far Eastern Air Transport Corporation,0.5333,delist_date=2008-10-20,Please verify historical TWSE/TPEx stock code from MOPS/TWSE/TPEx/company IR; fill stock_code if confirmed.
TAIWAN,FORMOSA INTL HOTELS,2,needs_review,,TPEx EN deListed official,5492,"MANZ INTECH MACHINES CO., LTD",0.5128,delist_date=2009-10-30,Please verify historical TWSE/TPEx stock code from MOPS/TWSE/TPEx/company IR; fill stock_code if confirmed.
TAIWAN,SINOAMERICAN SILICON PRO,5,needs_review,,TPEx EN deListed official,6107,"SINO-AMERICAN ELECTRONICS CO., LTD",0.6531,delist_date=2018-06-27,Please verify historical TWSE/TPEx stock code from MOPS/TWSE/TPEx/company IR; fill stock_code if confirmed.
TAIWAN,CHINESE GAMER INT'L,3,needs_review,,TWSE EN suspendListing official,6131,AC&C INT'L,0.5455,delist_date=2021/07/05,Please verify historical TWSE/TPEx stock code from MOPS/TWSE/TPEx/company IR; fill stock_code if confirmed.
TAIWAN,INTL GAMES SYSTEM C,6,needs_review,,TPEx EN deListed official,8105,"GIANTPLUS TECHNOLOGY CO., LTD.",0.4615,delist_date=2006-12-27,Please verify historical TWSE/TPEx stock code from MOPS/TWSE/TPEx/company IR; fill stock_code if confirmed.
TAIWAN,AMBASSADOR HOTEL (THE),2,needs_review,,TPEx EN deListed official,6215,AUROTEK CORPORATION,0.4348,delist_date=2007-12-31,Please verify historical TWSE/TPEx stock code from MOPS/TWSE/TPEx/company IR; fill stock_code if confirmed.
TAIWAN,DEPO AUTO PARTS INDL CO,2,needs_review,,TPEx EN deListed official,6438,"Symtek Automation Asia Co., Ltd.",0.4762,delist_date=2021-01-19,Please verify historical TWSE/TPEx stock code from MOPS/TWSE/TPEx/company IR; fill stock_code if confirmed.
TAIWAN,SUNONWEALTH ELEC MACHINE,3,needs_review,,TPEx EN deListed official,5492,"MANZ INTECH MACHINES CO., LTD",0.5909,delist_date=2009-10-30,Please verify historical TWSE/TPEx stock code from MOPS/TWSE/TPEx/company IR; fill stock_code if confirmed.
TAIWAN,ABLEPRINT TECHNOLOGY,1,needs_review,,TPEx EN deListed official,6243,ENE Technology Inc.,0.7647,delist_date=2009-12-17,Please verify historical TWSE/TPEx stock code from MOPS/TWSE/TPEx/company IR; fill stock_code if confirmed.
TAIWAN,HOLYSTONE ENTERPRISE CO,1,needs_review,,TPEx EN deListed official,3229,"CHEER TIME ENTERPRISE CO., LTD",0.6829,delist_date=2009-12-31,Please verify historical TWSE/TPEx stock code from MOPS/TWSE/TPEx/company IR; fill stock_code if confirmed.
TAIWAN,INTL CSRC INV HLDGS CO,1,needs_review,,TWSE EN suspendListing official,6131,AC&C INT'L,0.4848,delist_date=2021/07/05,Please verify historical TWSE/TPEx stock code from MOPS/TWSE/TPEx/company IR; fill stock_code if confirmed.
TAIWAN,TAIWAN-ASIA SC CORP,1,needs_review,,TWSE EN suspendListing official,1613,Tai-I,0.5,delist_date=2017/11/21,Please verify historical TWSE/TPEx stock code from MOPS/TWSE/TPEx/company IR; fill stock_code if confirmed.
TAIWAN,YUNG SHIN GLOBAL HOLDING,1,needs_review,,TPEx EN deListed official,1408,"CHUNG SHING TEXTILE CO.,LTD",0.5714,delist_date=2006-11-17,Please verify historical TWSE/TPEx stock code from MOPS/TWSE/TPEx/company IR; fill stock_code if confirmed.
TAIWAN,YUNGSHIN CONST & DEV,2,needs_review,,TPEx EN deListed official,5519,LongDa Construction & Development Corporation,0.5614,delist_date=2014-02-10,Please verify historical TWSE/TPEx stock code from MOPS/TWSE/TPEx/company IR; fill stock_code if confirmed.
TAIWAN,A.G.V. PRODUCTS,2,needs_review,,TPEx EN deListed official,6287,"ADVANCED MICROELECTRONIC PRODUCTS,INC.",0.4681,delist_date=2025-06-23,Please verify historical TWSE/TPEx stock code from MOPS/TWSE/TPEx/company IR; fill stock_code if confirmed.
TAIWAN,COSMOS BANK TAIWAN,2,needs_review,,TWSE EN suspendListing official,2847,TC Bank,0.6667,delist_date=2016/03/22,Please verify historical TWSE/TPEx stock code from MOPS/TWSE/TPEx/company IR; fill stock_code if confirmed.
TAIWAN,E-ONE MOLI ENERGY CORP,2,needs_review,,TWSE EN suspendListing official,9157,Solargiga Energy Holdings Limited,0.6061,delist_date=2019/11/12,Please verify historical TWSE/TPEx stock code from MOPS/TWSE/TPEx/company IR; fill stock_code if confirmed.
TAIWAN,ORISE TECHNOLOGY CO,2,needs_review,,TPEx EN deListed official,2396,PRODISC TECHNOLOGY INC.,0.8235,delist_date=2011-05-16,Please verify historical TWSE/TPEx stock code from MOPS/TWSE/TPEx/company IR; fill stock_code if confirmed.
TAIWAN,POWER QUOTIENT INT'L,3,needs_review,,TPEx EN deListed official,3296,"POWERTECH INDUSTRIAL CO., LTD.",0.6,delist_date=2007-12-31,Please verify historical TWSE/TPEx stock code from MOPS/TWSE/TPEx/company IR; fill stock_code if confirmed.
TAIWAN,TAIWAN LAND CORP,2,needs_review,,TWSE EN suspendListing official,4144,Coland Holdings Limited,0.8,delist_date=2020/10/30,Please verify historical TWSE/TPEx stock code from MOPS/TWSE/TPEx/company IR; fill stock_code if confirmed.
TAIWAN,FUBON NO 1 REIT,1,needs_review,,TPEx EN deListed official,4429,GFun Industrial Corporation,0.4667,delist_date=2022-05-31,Please verify historical TWSE/TPEx stock code from MOPS/TWSE/TPEx/company IR; fill stock_code if confirmed.
TAIWAN,SHIN KONG NO 1 REIT,1,needs_review,,TPEx EN deListed official,2114,"HSIN YUNG CHIEN CO.,LTD.",0.4706,delist_date=2010-12-29,Please verify historical TWSE/TPEx stock code from MOPS/TWSE/TPEx/company IR; fill stock_code if confirmed.
TAIWAN,ADV WIRELESS SEMICONDUC,2,needs_review,,TPEx EN deListed official,5466,ThaiLin Semiconductor Corp.,0.6364,delist_date=2015-06-17,Please verify historical TWSE/TPEx stock code from MOPS/TWSE/TPEx/company IR; fill stock_code if confirmed.
TAIWAN,DAHAN DEVELOPMENT CORP,1,needs_review,,TPEx EN deListed official,3266,"Sunty Development Co., LTD",0.7647,delist_date=2014-12-24,Please verify historical TWSE/TPEx stock code from MOPS/TWSE/TPEx/company IR; fill stock_code if confirmed.
TAIWAN,DAXON TECHNOLOGY,1,needs_review,,TPEx EN deListed official,6514,"Radiation Technology, Inc.",0.8333,delist_date=2024-10-18,Please verify historical TWSE/TPEx stock code from MOPS/TWSE/TPEx/company IR; fill stock_code if confirmed.
TAIWAN,CATHAY NO 2 REIT,1,needs_review,,TPEx EN deListed official,6024,Capital Futures Corp.,0.4516,delist_date=2017-10-16,Please verify historical TWSE/TPEx stock code from MOPS/TWSE/TPEx/company IR; fill stock_code if confirmed.
TAIWAN,CHENMING MOLD INDUSTRY,2,needs_review,,TPEx EN deListed official,8925,"WEI MON INDUSTRY CO.,LTD.",0.7368,delist_date=2016-06-27,Please verify historical TWSE/TPEx stock code from MOPS/TWSE/TPEx/company IR; fill stock_code if confirmed.
