product,review,pdf_file,issue_date,announcement_date,effective_close_date
standard,2006-08,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Aug06_STPublicList.pdf,2006-08-17,2006-08-17,2006-08-31
standard,2007-08,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Aug07_STPublicList.pdf,2007-08-16,2007-08-16,2007-08-31
standard,2008-08,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Aug08_STPublicList.pdf,2008-08-13,2008-08-13,2008-08-29
standard,2009-08,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Aug09_STPublicList.pdf,2009-08-12,2009-08-12,2009-08-31
standard,2010-08,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Aug10_STPublicList.pdf,2010-08-17,2010-08-17,2010-08-31
standard,2011-08,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Aug11_STPublicList.pdf,2011-08-16,2011-08-16,2011-08-31
standard,2012-08,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Aug12_STPublicList.pdf,2012-08-15,2012-08-15,2012-08-31
standard,2013-08,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Aug13_STPublicList.pdf,2013-08-14,2013-08-14,2013-08-30
standard,2014-08,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Aug14_STPublicList.pdf,2014-08-13,2014-08-13,2014-08-29
standard,2015-08,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Aug15_STPublicList.pdf,2015-08-13,2015-08-13,2015-08-31
standard,2016-08,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Aug16_STPublicList.pdf,2016-08-11,2016-08-11,2016-08-31
standard,2017-08,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Aug17_STPublicList.pdf,2017-08-10,2017-08-10,2017-08-31
standard,2018-08,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Aug18_STPublicList.pdf,2018-08-13,2018-08-13,2018-08-31
standard,2019-08,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Aug19_STPublicList.pdf,2019-08-07,2019-08-07,2019-08-27
standard,2020-08,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Aug20_STPublicList.pdf,2020-08-12,2020-08-12,2020-08-31
standard,2021-08,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Aug21_STPublicList.pdf,2021-08-11,2021-08-11,2021-08-31
standard,2022-08,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Aug22_STPublicList.pdf,2022-08-11,2022-08-11,2022-08-31
standard,2023-08,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Aug23_STPublicList.pdf,2023-08-10,2023-08-10,2023-08-31
standard,2024-08,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Aug24_STPublicList.pdf,2024-08-12,2024-08-12,2024-08-30
standard,2025-08,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Aug25_STPublicList.pdf,2025-08-07,2025-08-07,2025-08-26
standard,2006-02,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Feb06_STPublicList.pdf,2006-02-13,2006-02-13,2006-02-28
